packageId,dateIssued,title,lastModified,detailsLink,pages,governmentAuthor1,category
CREC-2022-12-14,2022-12-14,"Congressional Record Volume 168, Issue 194, (December 14, 2022)",2022-12-15T17:12:56Z,https://www.govinfo.gov/app/details/CREC-2022-12-14,207,Congress,Proceedings of Congress and General Congressional Publications
CREC-2022-08-04,2022-08-04,"Congressional Record Volume 168, Issue 131, (August 4, 2022)",2022-12-13T19:58:31Z,https://www.govinfo.gov/app/details/CREC-2022-08-04,52,Congress,Proceedings of Congress and General Congressional Publications
CREC-2022-12-01,2022-12-01,"Congressional Record Volume 168, Issue 186, (December 1, 2022)",2022-12-13T12:31:00Z,https://www.govinfo.gov/app/details/CREC-2022-12-01,84,Congress,Proceedings of Congress and General Congressional Publications
CREC-2022-12-07,2022-12-07,"Congressional Record Volume 168, Issue 190, (December 7, 2022)",2022-12-08T15:25:24Z,https://www.govinfo.gov/app/details/CREC-2022-12-07,69,Congress,Proceedings of Congress and General Congressional Publications
CREC-2022-12-06,2022-12-06,"Congressional Record Volume 168, Issue 189, (December 6, 2022)",2022-12-08T10:51:11Z,https://www.govinfo.gov/app/details/CREC-2022-12-06,98,Congress,Proceedings of Congress and General Congressional Publications
CREC-2022-12-05,2022-12-05,"Congressional Record Volume 168, Issue 188, (December 5, 2022)",2022-12-08T10:46:11Z,https://www.govinfo.gov/app/details/CREC-2022-12-05,62,Congress,Proceedings of Congress and General Congressional Publications
CREC-2022-11-30-i184,2022-11-30,"Congressional Record Volume 168, Issue 184, (November 30, 2022)",2022-12-07T13:36:40Z,https://www.govinfo.gov/app/details/CREC-2022-11-30-i184,81,Congress,Proceedings of Congress and General Congressional Publications
CREC-2022-12-02,2022-12-02,"Congressional Record Volume 168, Issue 187, (December 2, 2022)",2022-12-03T09:56:26Z,https://www.govinfo.gov/app/details/CREC-2022-12-02,32,Congress,Proceedings of Congress and General Congressional Publications
CREC-2022-11-30-i185,2022-11-30,"Congressional Record Volume 168, Issue 185, (November 30, 2022)",2022-12-01T14:37:49Z,https://www.govinfo.gov/app/details/CREC-2022-11-30-i185,9,Congress,Proceedings of Congress and General Congressional Publications
CREC-2022-11-29,2022-11-29,"Congressional Record Volume 168, Issue 183, (November 29, 2022)",2022-12-01T00:54:54Z,https://www.govinfo.gov/app/details/CREC-2022-11-29,102,Congress,Proceedings of Congress and General Congressional Publications
CREC-2022-11-17,2022-11-17,"Congressional Record Volume 168, Issue 178, (November 17, 2022)",2022-11-30T04:23:19Z,https://www.govinfo.gov/app/details/CREC-2022-11-17,117,Congress,Proceedings of Congress and General Congressional Publications
CREC-2022-11-28,2022-11-28,"Congressional Record Volume 168, Issue 182, (November 28, 2022)",2022-11-29T10:15:38Z,https://www.govinfo.gov/app/details/CREC-2022-11-28,29,Congress,Proceedings of Congress and General Congressional Publications
CREC-2022-11-25,2022-11-25,"Congressional Record Volume 168, Issue 181, (November 25, 2022)",2022-11-26T07:26:42Z,https://www.govinfo.gov/app/details/CREC-2022-11-25,7,Congress,Proceedings of Congress and General Congressional Publications
